RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
1354.6,1308.0,697.6,647.8,0.8,0.1,0.4
1892.6,1131.8,777.0,497.5,0.6,0.2,0.6
1988.3,1143.3,689.0,510.0,1.3,0.1,0.5
1566.4,1132.2,640.3,425.1,6.5,0.1,1.4
1970.0,1041.6,785.6,393.8,3.9,0.7,1.0
2001.9,1047.1,804.3,540.0,1.8,0.2,1.2
1891.5,1100.6,741.6,426.6,3.6,0.1,1.9
1822.4,812.8,782.0,394.1,11.0,0.8,9.0
1491.5,1101.3,542.0,451.1,7.4,0.0,3.6
1605.6,1093.5,655.0,427.8,8.0,0.2,2.5
1611.9,1246.3,752.5,504.0,2.5,0.0,0.6
1897.6,1091.2,868.7,519.8,0.7,0.5,0.7
1755.0,1080.3,696.7,484.9,3.0,0.3,0.7
1550.1,1014.6,549.3,429.6,20.3,0.0,3.6
