task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load data,2024-04-29T17:50:58,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.45734071731567383,4.2200875341706834e-06,9.187550232083695e-06,42.5,0.0,141.20075225830078,5.4210649596320265e-06,0,1.7969547585516922e-05,2.3390612545148947e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
create data variables,2024-04-29T17:50:58,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.0017330646514892578,1.363308580611005e-08,7.369674742738834e-06,42.5,0.0,141.20075225830078,2.05498602655195e-08,0,5.501402918071222e-08,7.556388944623342e-08,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
creating train-test split,2024-04-29T17:50:58,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.0044667720794677734,3.471796806343157e-08,8.217240128679154e-06,42.5,0.0,141.20075225830078,4.845725165473072e-08,0,1.4397348177226245e-07,1.9243073342699486e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
load vectorizer,2024-04-29T17:50:58,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.012146234512329102,1.0314735979192104e-07,8.813024725294227e-06,42.5,0.0,141.20075225830078,1.3657593064838024e-07,0,4.351373118879563e-07,5.717132425363365e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
fit vectorizer,2024-04-29T17:51:12,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,13.974659442901611,0.00012864290141980758,9.205772278796554e-06,42.5,0.0,141.20075225830078,0.00016497106668021945,0,0.0005480559118906967,0.0007130269785709162,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
fit classifier,2024-04-29T17:51:12,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.07282018661499023,6.641121627455279e-07,9.150299100412984e-06,42.5,0.0,141.20075225830078,8.555452028910439e-07,0,2.8254187959646238e-06,3.6809639988556134e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
make predictions,2024-04-29T17:51:12,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.006323337554931641,5.5660418104858805e-08,8.718228183541778e-06,42.5,0.0,141.20075225830078,7.43127531475441e-08,0,2.3419536746590967e-07,3.085081206134809e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
create confusion matrix,2024-04-29T17:51:12,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.05537128448486328,5.018858216135444e-07,9.125660384250464e-06,42.5,0.0,141.20075225830078,6.476935413148683e-07,0,2.1341010779223893e-06,2.7817946192372576e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
make classification report,2024-04-29T17:51:12,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.04182314872741699,3.8079659757676767e-07,9.116357355935976e-06,42.5,0.0,141.20075225830078,4.917752411630458e-07,0,1.6188600478699413e-06,2.110635289033014e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
create cross validation graph,2024-04-29T17:51:37,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,24.347020387649536,0.00022413121227420443,9.20597893682658e-06,42.5,0.0,141.20075225830078,0.0002874189388420847,0,0.0009548695926470372,0.0012422885314891218,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
save logistic regression model,2024-04-29T17:51:37,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.0033223628997802734,2.7752352632387945e-08,8.280111228868637e-06,42.5,0.0,141.20075225830078,3.8445492585477414e-08,0,1.1537703417164626e-07,1.5382252675690683e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
load model,2024-04-29T17:51:37,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.0029244422912597656,2.383251218249227e-08,8.174078107537499e-06,42.5,0.0,141.20075225830078,3.319614463382411e-08,0,9.889994435061979e-08,1.3209608898476916e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
get predictions for test sentence,2024-04-29T17:51:37,assignment 2 logistic regression,e95cf46e-e345-4a3b-a412-98a463f3c40b,0.003372669219970703,2.79716825228463e-08,8.326005243936153e-06,42.5,0.0,141.20075225830078,3.8445492585477414e-08,0,1.1659271049210655e-07,1.550382030778008e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
